Energy,Thickness,Angle,Count,A,x0
5.0,7,5156.620156177409,27,6.749999850214965,-45909242.399618894
10.0,7,5156.620156177409,864,57.59999659617846,-97125933.00883944
15.0,7,5156.620156177409,3456,138.23998693381836,-106299687.37590145
20.0,7,5156.620156177409,8002,242.4848365426764,-268672903.53157127
25.0,7,5156.620156177409,14729,342.5348578907205,-250269012.8819848
30.0,7,5156.620156177409,23558,453.0384209239646,-256695843.03282163
35.0,7,5156.620156177409,33835,563.9166328322411,-461420522.776803
40.0,7,5156.620156177409,45694,662.2318304410416,-420231765.1960784
45.0,7,5156.620156177409,58949,727.7653606001211,-368670584.4001241
50.0,7,5156.620156177409,72662,798.4834533026661,-529222891.8499667
55.0,7,5156.620156177409,87457,892.4182820167333,-427771194.8309644
60.0,7,5156.620156177409,102632,986.8460598374996,-496090612.58113205
65.0,7,5156.620156177409,117645,1041.1061216504293,-757237100.9661832
70.0,7,5156.620156177409,133513,1059.6268729303652,-569957261.4246857
75.0,7,5156.620156177409,148793,1094.0660498462817,-537999488.6083168
80.0,7,5156.620156177409,165416,1164.9012744808522,-569461703.8474978
85.0,7,5156.620156177409,182047,1213.6465734290082,-875907014.66275
90.0,7,5156.620156177409,197795,1220.9566973374097,-948948364.5272268
95.0,7,5156.620156177409,213851,1243.319676071785,-1114638241.5504804
100.0,7,5156.620156177409,230556,1266.791069436691,-767246737.7888454
